,Date,Open
0,03.04.2020,1336
1,03.03.2020,1336
2,03.02.2020,1332
3,02.28.2020,1359
4,02.27.2020,1438
5,02.26.2020,1442
6,02.25.2020,1504
7,02.21.2020,1525
8,02.20.2020,1546
9,02.19.2020,1525
10,02.18.2020,1540
11,02.17.2020,1535
12,02.14.2020,1541
13,02.13.2020,1553
14,02.12.2020,1542
15,02.11.2020,1509
16,02.10.2020,1517
17,02.07.2020,1542
18,02.06.2020,1569
19,02.05.2020,1550
20,02.04.2020,1523
21,02.03.2020,1509
22,01.31.2020,1559
23,01.30.2020,1565
24,01.29.2020,1581
25,01.28.2020,1549
26,01.27.2020,1584
27,01.24.2020,1601
28,01.23.2020,1611
29,01.22.2020,1635
30,01.21.2020,1644
31,01.20.2020,1640
32,01.17.2020,1615
33,01.16.2020,1608
34,01.15.2020,1604
35,01.14.2020,1622
36,01.13.2020,1612
37,01.10.2020,1602
38,01.09.2020,1597
39,01.08.2020,1567
40,01.06.2020,1560
41,01.03.2020,1554
42,12.30.2019,1549
43,12.27.2019,1533
44,12.26.2019,1541
45,12.25.2019,1541
46,12.24.2019,1535
47,12.23.2019,1522
48,12.20.2019,1522
49,12.19.2019,1514
50,12.18.2019,1520
51,12.17.2019,1519
52,12.16.2019,1504
53,12.13.2019,1499
54,12.12.2019,1476
55,12.11.2019,1454
56,12.10.2019,1458
57,12.09.2019,1448
58,12.06.2019,1433
59,12.05.2019,1430
60,12.04.2019,1417
61,12.03.2019,1432
62,12.02.2019,1438
63,11.29.2019,1438
64,11.28.2019,1441
65,11.27.2019,1444
66,11.26.2019,1455
67,11.25.2019,1456
68,11.22.2019,1453
69,11.21.2019,1449
70,11.20.2019,1449
71,11.19.2019,1445
72,11.18.2019,1456
73,11.15.2019,1440
74,11.14.2019,1438
75,11.13.2019,1443
76,11.12.2019,1461
77,11.11.2019,1464
78,11.08.2019,1486
79,11.07.2019,1468
80,11.06.2019,1463
81,11.05.2019,1463
82,11.01.2019,1422
83,10.31.2019,1439
84,10.30.2019,1419
85,10.29.2019,1412
86,10.28.2019,1420
87,10.25.2019,1414
88,10.24.2019,1390
89,10.23.2019,1382
90,10.22.2019,1367
91,10.21.2019,1363
92,10.18.2019,1350
93,10.17.2019,1349
94,10.16.2019,1330
95,10.15.2019,1321
96,10.14.2019,1329
97,10.11.2019,1330
98,10.10.2019,1315
99,10.09.2019,1306
100,10.08.2019,1319
101,10.07.2019,1313
102,10.04.2019,1309
103,10.03.2019,1313
104,10.02.2019,1330
105,10.01.2019,1335
106,09.30.2019,1344
107,09.27.2019,1360
108,09.26.2019,1353
109,09.25.2019,1353
110,09.24.2019,1374
111,09.23.2019,1374
112,09.20.2019,1376
113,09.19.2019,1382
114,09.18.2019,1379
115,09.17.2019,1393
116,09.16.2019,1376
117,09.13.2019,1360
118,09.12.2019,1354
119,09.11.2019,1342
120,09.10.2019,1338
